GeneSymbol	A21_05_C2_P5_352070	A21_05_C2_P5_870531	A21_05_C2_P5_566799	A21_05_C2_P5_327382	A21_05_C2_P5_281353	A21_05_C2_P5_651583	A21_05_C2_P5_322849	A21_05_C2_P5_275626	A21_05_C2_P5_207154	A21_05_C2_P5_38037	A21_05_C2_P5_472596	A21_05_C2_P5_421210	A21_05_C2_P5_538507	A21_05_C2_P5_446472	A21_05_C2_P5_716341	A21_05_C2_P5_14307	A21_05_C2_P5_559328	A21_05_C2_P5_310445	A21_05_C2_P5_104299	A21_05_C2_P5_618234	A21_05_C2_P5_595870	A21_05_C2_P5_850010	A21_05_C2_P5_299307	A21_05_C2_P5_183049	A21_05_C2_P5_155556	A21_05_C2_P5_30008	A21_05_C2_P5_117845	A21_05_C2_P5_674885	A21_05_C2_P5_304436	A21_05_C2_P5_844447	A21_05_C2_P5_50906	A21_05_C2_P5_692857	A21_05_C2_P5_488612	A21_05_C2_P5_432769	A21_05_C2_P5_215423	A21_05_C2_P5_653916	A21_05_C2_P5_106742	A21_05_C2_P5_251037	A21_05_C2_P5_96917	A21_05_C2_P5_615606	A21_05_C2_P5_877924	A21_05_C2_P5_815497	A21_05_C2_P5_736716	A21_05_C2_P5_121752	A21_05_C2_P5_204003	A21_05_C2_P5_167595	A21_05_C2_P5_497577	A21_05_C2_P5_353031	A21_05_C2_P5_185072	A21_05_C2_P5_485181	A21_05_C2_P5_443180	A21_05_C2_P5_18228	A21_05_C2_P5_367731	A21_05_C2_P5_568677	A21_05_C2_P5_66646	A21_05_C2_P5_120507	A21_05_C2_P5_146537	A21_05_C2_P5_683629	A21_05_C2_P5_346467	A21_05_C2_P5_50955	A21_05_C2_P5_135411	A21_05_C2_P5_781372	A21_05_C2_P5_27356	A21_05_C2_P5_365319	A21_05_C2_P5_237354	A21_05_C2_P5_615703	A21_05_C2_P5_597428	A21_05_C2_P5_320046	A21_05_C2_P5_658723	A21_05_C2_P5_353826	A21_05_C2_P5_70170	A21_05_C2_P5_294200	A21_05_C2_P5_234490	A21_05_C2_P5_401684	A21_05_C2_P5_26597	A21_05_C2_P5_608884	A21_05_C2_P5_130055	A21_05_C2_P5_551385	A21_05_C2_P5_466822	A21_05_C2_P5_206814	A21_05_C2_P5_22765	A21_05_C2_P5_104104	A21_05_C2_P5_115160	A21_05_C2_P5_569214	A21_05_C2_P5_217291	A21_05_C2_P5_22049	A21_05_C2_P5_436976	A21_05_C2_P5_383498	A21_05_C2_P5_467737	A21_05_C2_P5_383484	A21_05_C2_P5_586951	A21_05_C2_P5_269889	A21_05_C2_P5_735337	A21_05_C2_P5_865413	A21_05_C2_P5_129099	A21_05_C2_P5_366900	A21_05_C2_P5_530900	A21_05_C2_P5_628745	A21_05_C2_P5_75431	A21_05_C2_P5_270407	A21_05_C2_P5_180720	A21_05_C2_P5_34473	A21_05_C2_P5_207261	A21_05_C2_P5_340351	A21_05_C2_P5_38061	A21_05_C2_P5_841107	A21_05_C2_P5_427609	A21_05_C2_P5_223722	A21_05_C2_P5_739448	A21_05_C2_P5_87954	A21_05_C2_P5_698323	A21_05_C2_P5_445238	A21_05_C2_P5_769794	A21_05_C2_P5_682319	A21_05_C2_P5_761396	A21_05_C2_P5_89417	A21_05_C2_P5_92729	A21_05_C2_P5_871048	A21_05_C2_P5_501653	A21_05_C2_P5_711477	A21_05_C2_P5_435977	A21_05_C2_P5_861655	A21_05_C2_P5_242651	A21_05_C2_P5_581037	A21_05_C2_P5_251913	A21_05_C2_P5_478340	A21_05_C2_P5_400891	A21_05_C2_P5_77533	A21_05_C2_P5_554168	A21_05_C2_P5_35446	A21_05_C2_P5_29133	A21_05_C2_P5_240596	A21_05_C2_P5_276964	A21_05_C2_P5_6409	A21_05_C2_P5_581745	A21_05_C2_P5_168659	A21_05_C2_P5_328450	A21_05_C2_P5_253848	A21_05_C2_P5_76082	A21_05_C2_P5_735952	A21_05_C2_P5_786333	A21_05_C2_P5_787819	A21_05_C2_P5_588210	A21_05_C2_P5_296444	A21_05_C2_P5_620277	A21_05_C2_P5_504696	A21_05_C2_P5_802432	A21_05_C2_P5_412180	A21_05_C2_P5_452594	A21_05_C2_P5_787829	A21_05_C2_P5_397428	A21_05_C2_P5_422934	A21_05_C2_P5_411600	A21_05_C2_P5_602080	A21_05_C2_P5_188216	A21_05_C2_P5_435378	A21_05_C2_P5_371240	A21_05_C2_P5_318405	A21_05_C2_P5_319076	A21_05_C2_P5_84146	A21_05_C2_P5_533956	A21_05_C2_P5_428939	A21_05_C2_P5_824159	A21_05_C2_P5_13962	A21_05_C2_P5_558037	A21_05_C2_P5_289017	A21_05_C2_P5_645487	A21_05_C2_P5_166653	A21_05_C2_P5_232849	A21_05_C2_P5_633277	A21_05_C2_P5_849324	A21_05_C2_P5_519304	A21_05_C2_P5_223064	A21_05_C2_P5_709805	A21_05_C2_P5_347248	A21_05_C2_P5_609553	A21_05_C2_P5_25513	A21_05_C2_P5_875532	A21_05_C2_P5_791229	A21_05_C2_P5_750897	A21_05_C2_P5_488302	A21_05_C2_P5_38859	A21_05_C2_P5_471912	A21_05_C2_P5_120729	A21_05_C2_P5_259803	A21_05_C2_P5_432548	A21_05_C2_P5_525994	A21_05_C2_P5_694230	A21_05_C2_P5_226022	A21_05_C2_P5_665165	A21_05_C2_P5_636562	A21_05_C2_P5_301156	A21_05_C2_P5_285060	A21_05_C2_P5_316879	A21_05_C2_P5_231930	A21_05_C2_P5_712972	A21_05_C2_P5_7946	A21_05_C2_P5_392368	A21_05_C2_P5_79825	A21_05_C2_P5_639198	A21_05_C2_P5_743349	A21_05_C2_P5_177637	A21_05_C2_P5_692231
A2M	0.000	0.000	0.000	0.000	0.000	0.401	0.407	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.716	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.521	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.000	0.651	0.000	0.000	0.000	0.000	0.407	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.475	0.482	0.000	0.502	0.000	0.000	0.497	0.000	0.000	0.000	0.000	0.000	0.000	0.535	1.125	0.000	0.000	0.523	0.000	0.000	0.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.562	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	1.412	0.000	0.000	0.000	0.000	0.000	0.945	0.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.608	0.000	0.000	0.000	0.615	0.602	0.000	0.000	0.986	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.692	0.000	0.702	0.000	0.000	0.000	0.000	1.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.745	0.000	0.000	0.755	0.000	0.000	0.779	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.841	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCC9	0.000	0.000	0.000	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.000	0.000	0.000	0.471	0.000	0.482	0.000	0.000	0.000	0.000	0.000	0.493	0.000	0.000	0.000	0.000	0.000	0.000	0.527	0.000	0.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.000	0.000	0.907	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.559	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.443	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.602	0.607	0.615	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.628	0.000	0.000	0.628	0.000	0.000	0.642	0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.049	0.000	0.659	0.000	0.000	0.000	0.681	0.000	0.000	0.000	0.000	0.668	1.370	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.683	0.000	0.000	0.000	0.000	0.000	0.000	0.701	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.802	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.960	0.000	0.000	0.000	0.000
ABCE1	1.011	0.866	0.887	0.673	0.921	1.090	0.407	0.711	1.147	0.973	1.158	0.749	1.174	0.000	0.454	0.781	0.472	1.225	0.475	1.051	1.410	0.502	0.499	0.497	0.827	0.822	1.082	0.844	1.477	0.000	0.883	0.881	0.000	0.528	1.331	0.523	1.316	0.881	0.536	0.532	1.345	1.343	0.000	0.555	1.153	0.000	0.886	0.569	1.366	1.162	1.173	0.907	0.560	0.913	0.559	0.566	0.930	1.175	0.558	0.920	0.573	0.916	1.384	1.601	1.212	0.000	1.198	1.210	1.401	0.575	0.946	1.211	1.430	1.218	0.955	1.212	0.000	0.000	0.950	1.968	0.962	1.232	0.580	1.246	1.221	1.235	0.593	1.245	0.000	0.608	0.610	1.245	0.599	0.615	0.602	1.254	1.481	0.610	1.261	0.610	0.000	1.251	0.995	1.490	0.628	1.003	0.000	1.011	1.296	1.022	1.309	1.514	0.633	0.000	0.000	1.299	1.542	1.535	1.059	1.049	0.657	0.000	1.565	0.671	0.674	0.681	0.000	0.682	0.000	1.354	0.000	1.773	1.377	0.679	1.363	0.000	0.680	0.675	0.680	1.098	0.000	1.581	0.000	0.000	1.612	0.702	0.696	1.398	1.126	0.000	1.129	1.139	0.726	0.724	0.000	1.148	0.000	0.740	0.731	1.460	1.684	0.738	1.163	0.745	0.751	1.730	0.755	1.203	1.500	0.000	0.784	0.775	0.000	1.237	1.230	0.000	1.240	0.000	0.000	0.000	0.814	0.833	0.835	1.600	1.601	0.000	0.854	0.856	0.000	1.320	0.861	0.883	1.673	0.000	0.911	0.925	0.000	0.000	0.960	0.000	1.519	0.000	0.000
ABHD2	0.000	0.000	0.669	0.000	0.000	0.401	0.000	0.711	0.430	0.000	0.436	0.443	0.444	0.000	0.454	0.465	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.497	0.000	0.000	0.000	0.509	0.516	0.000	0.000	0.000	0.000	0.000	0.000	0.865	0.000	0.000	0.000	0.532	0.000	0.000	0.549	0.000	0.544	0.000	0.000	0.000	0.000	0.000	0.556	0.000	0.000	0.000	0.559	0.000	0.000	0.558	0.000	0.000	0.934	0.559	0.914	0.583	0.580	0.590	0.000	0.579	0.000	0.000	0.000	0.580	0.000	0.000	0.000	0.000	0.000	0.000	0.584	0.631	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.624	0.000	0.000	0.974	0.000	0.615	0.000	0.000	0.615	0.000	0.611	0.000	0.982	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.681	0.000	0.000	0.000	0.672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.680	0.000	0.000	0.000	0.689	0.000	0.000	0.702	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.731	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.799	0.000	0.000	0.801	0.000	0.802	0.000	0.000	0.000	0.835	0.000	1.291	0.000	0.000	0.856	1.325	0.000	0.000	0.883	0.000	0.897	0.000	0.000	0.000	0.000	0.960	0.000	0.000	0.000	0.000
ABI3BP	1.011	1.438	0.000	0.000	0.921	0.908	1.255	0.711	0.000	0.973	1.316	1.589	0.984	1.509	0.454	2.162	0.791	0.000	0.000	0.806	0.000	1.084	0.830	0.827	0.000	0.000	0.833	1.605	0.000	0.000	0.883	0.535	0.870	0.871	0.000	0.523	0.860	0.881	1.140	0.877	0.536	0.535	0.000	0.910	1.153	1.347	1.518	1.575	1.922	0.550	1.173	0.907	0.560	0.000	0.916	0.925	0.000	0.000	0.558	0.000	0.000	0.559	0.558	1.216	0.000	0.590	0.572	0.000	1.192	1.976	0.000	1.743	0.000	1.218	0.588	0.580	0.000	1.227	0.584	1.686	0.593	0.593	0.580	0.000	0.953	1.235	1.768	1.458	0.624	0.983	0.000	0.000	0.000	1.658	1.634	0.000	0.000	0.986	0.000	0.000	0.000	1.251	0.995	1.000	0.628	0.622	1.301	1.287	0.000	0.636	1.030	0.635	0.000	0.638	0.000	0.000	2.122	0.000	1.894	0.000	0.657	1.053	0.000	1.069	0.674	0.000	0.000	0.000	1.065	0.000	0.668	1.084	0.000	1.080	0.000	1.764	1.081	2.048	0.000	0.693	0.683	0.675	0.000	0.000	0.000	0.702	0.000	1.109	1.126	0.698	0.716	0.723	0.000	1.659	1.646	0.000	1.141	0.000	1.854	1.460	0.740	1.158	0.000	1.463	1.175	0.000	0.755	0.000	0.000	0.000	0.000	1.507	1.528	0.000	0.000	1.243	1.240	0.000	0.000	0.813	0.000	0.000	0.000	0.841	0.841	0.000	0.000	0.856	0.868	0.000	0.000	0.883	0.000	0.897	0.000	0.925	0.000	0.000	0.960	1.004	1.024	1.029	1.095
ABL2	0.628	0.000	0.389	0.000	0.408	0.401	0.407	0.000	0.000	0.000	0.000	0.000	0.000	0.462	0.000	0.000	0.472	0.471	0.000	0.482	0.482	0.000	0.499	0.000	0.000	0.000	0.501	0.000	0.516	0.000	0.536	0.000	0.870	0.000	0.000	0.523	0.000	0.000	0.536	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.550	1.552	0.553	0.000	0.558	0.559	0.000	0.000	0.000	0.000	0.000	0.000	0.559	0.000	0.000	0.000	0.000	0.572	0.000	0.928	0.000	0.000	0.000	0.000	0.000	0.000	0.945	0.968	0.000	0.000	1.015	0.000	0.000	0.580	0.602	0.000	0.595	0.000	0.000	0.624	0.000	0.610	0.974	0.000	0.615	0.975	0.000	0.000	0.610	0.611	0.000	0.000	0.605	0.000	0.000	0.000	0.622	0.000	0.000	0.634	0.636	0.642	0.000	0.000	0.000	0.666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.666	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.370	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.698	1.829	0.000	0.000	0.000	0.000	0.000	0.725	0.000	0.731	0.000	0.000	0.000	0.000	0.745	0.000	0.000	0.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.802	0.813	0.000	0.000	0.835	0.000	0.000	0.000	0.000	0.000	0.868	0.000	0.861	0.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
