GeneSymbol	A21_05_C2_P5_351403	A21_05_C2_P5_211214	A21_05_C2_P5_43976	A21_05_C2_P5_283500	A21_05_C2_P5_44688	A21_05_C2_P5_536941	A21_05_C2_P5_49774	A21_05_C2_P5_598191	A21_05_C2_P5_76443	A21_05_C2_P5_821084	A21_05_C2_P5_840528	A21_05_C2_P5_120275	A21_05_C2_P5_379809	A21_05_C2_P5_2295	A21_05_C2_P5_481423	A21_05_C2_P5_413991	A21_05_C2_P5_464463	A21_05_C2_P5_685627	A21_05_C2_P5_101972	A21_05_C2_P5_362051	A21_05_C2_P5_83155	A21_05_C2_P5_727522	A21_05_C2_P5_115285	A21_05_C2_P5_626250	A21_05_C2_P5_112286	A21_05_C2_P5_717923	A21_05_C2_P5_524962	A21_05_C2_P5_5418	A21_05_C2_P5_23809	A21_05_C2_P5_518285	A21_05_C2_P5_838089	A21_05_C2_P5_741327	A21_05_C2_P5_591396	A21_05_C2_P5_584369	A21_05_C2_P5_145524	A21_05_C2_P5_108064	A21_05_C2_P5_835614	A21_05_C2_P5_60224	A21_05_C2_P5_531505	A21_05_C2_P5_226842	A21_05_C2_P5_579043	A21_05_C2_P5_28519	A21_05_C2_P5_6226	A21_05_C2_P5_648311	A21_05_C2_P5_426222	A21_05_C2_P5_733095	A21_05_C2_P5_619914	A21_05_C2_P5_345159	A21_05_C2_P5_470485	A21_05_C2_P5_674685	A21_05_C2_P5_339226	A21_05_C2_P5_463975	A21_05_C2_P5_349582	A21_05_C2_P5_391988	A21_05_C2_P5_862650	A21_05_C2_P5_542700	A21_05_C2_P5_718974	A21_05_C2_P5_558354	A21_05_C2_P5_524408	A21_05_C2_P5_370201	A21_05_C2_P5_628018	A21_05_C2_P5_3120	A21_05_C2_P5_850353	A21_05_C2_P5_724434	A21_05_C2_P5_766845	A21_05_C2_P5_464546	A21_05_C2_P5_647816	A21_05_C2_P5_390697	A21_05_C2_P5_636495	A21_05_C2_P5_577573	A21_05_C2_P5_195613	A21_05_C2_P5_437632	A21_05_C2_P5_329849	A21_05_C2_P5_500144	A21_05_C2_P5_815659	A21_05_C2_P5_147732	A21_05_C2_P5_508620	A21_05_C2_P5_133504	A21_05_C2_P5_670326	A21_05_C2_P5_612448	A21_05_C2_P5_452026	A21_05_C2_P5_415816	A21_05_C2_P5_142955	A21_05_C2_P5_132820	A21_05_C2_P5_424423	A21_05_C2_P5_816664	A21_05_C2_P5_486105	A21_05_C2_P5_473176	A21_05_C2_P5_731524	A21_05_C2_P5_118861	A21_05_C2_P5_744622	A21_05_C2_P5_288894	A21_05_C2_P5_792754	A21_05_C2_P5_227863	A21_05_C2_P5_557592	A21_05_C2_P5_517827	A21_05_C2_P5_39101	A21_05_C2_P5_173996	A21_05_C2_P5_808262	A21_05_C2_P5_254235	A21_05_C2_P5_848211	A21_05_C2_P5_848711	A21_05_C2_P5_497722	A21_05_C2_P5_395000	A21_05_C2_P5_591840	A21_05_C2_P5_536248	A21_05_C2_P5_425472	A21_05_C2_P5_120066	A21_05_C2_P5_674644	A21_05_C2_P5_622028	A21_05_C2_P5_650452	A21_05_C2_P5_295514	A21_05_C2_P5_406989	A21_05_C2_P5_53935	A21_05_C2_P5_117011	A21_05_C2_P5_67697	A21_05_C2_P5_442162	A21_05_C2_P5_817660	A21_05_C2_P5_578224	A21_05_C2_P5_249205	A21_05_C2_P5_55824	A21_05_C2_P5_500602	A21_05_C2_P5_480416	A21_05_C2_P5_315956	A21_05_C2_P5_586423	A21_05_C2_P5_428852	A21_05_C2_P5_840914	A21_05_C2_P5_67979	A21_05_C2_P5_98514	A21_05_C2_P5_806515	A21_05_C2_P5_809971	A21_05_C2_P5_28012	A21_05_C2_P5_502323	A21_05_C2_P5_702196	A21_05_C2_P5_75183	A21_05_C2_P5_335469	A21_05_C2_P5_765141	A21_05_C2_P5_70033	A21_05_C2_P5_109840	A21_05_C2_P5_246925	A21_05_C2_P5_270099	A21_05_C2_P5_432167	A21_05_C2_P5_468727	A21_05_C2_P5_64114	A21_05_C2_P5_754093	A21_05_C2_P5_47869	A21_05_C2_P5_282166	A21_05_C2_P5_140121	A21_05_C2_P5_311630	A21_05_C2_P5_624287	A21_05_C2_P5_79144	A21_05_C2_P5_265336	A21_05_C2_P5_523834	A21_05_C2_P5_403105	A21_05_C2_P5_2987	A21_05_C2_P5_376148	A21_05_C2_P5_636535	A21_05_C2_P5_366535	A21_05_C2_P5_539410	A21_05_C2_P5_530618	A21_05_C2_P5_302248	A21_05_C2_P5_278939	A21_05_C2_P5_755593	A21_05_C2_P5_280126	A21_05_C2_P5_303108	A21_05_C2_P5_871924	A21_05_C2_P5_874907	A21_05_C2_P5_631098	A21_05_C2_P5_214536	A21_05_C2_P5_373220	A21_05_C2_P5_884218	A21_05_C2_P5_484159	A21_05_C2_P5_354633	A21_05_C2_P5_552444	A21_05_C2_P5_137024	A21_05_C2_P5_568209	A21_05_C2_P5_25207	A21_05_C2_P5_454091	A21_05_C2_P5_467857	A21_05_C2_P5_790011	A21_05_C2_P5_117625	A21_05_C2_P5_435164	A21_05_C2_P5_387753	A21_05_C2_P5_287377	A21_05_C2_P5_608175	A21_05_C2_P5_311641	A21_05_C2_P5_778660	A21_05_C2_P5_409476	A21_05_C2_P5_761815	A21_05_C2_P5_384645	A21_05_C2_P5_739127	A21_05_C2_P5_253011	A21_05_C2_P5_818148	A21_05_C2_P5_794142	A21_05_C2_P5_882761	A21_05_C2_P5_559088	A21_05_C2_P5_627078	A21_05_C2_P5_311028	A21_05_C2_P5_222973	A21_05_C2_P5_697469	A21_05_C2_P5_510204	A21_05_C2_P5_43947	A21_05_C2_P5_783941	A21_05_C2_P5_294803	A21_05_C2_P5_581057	A21_05_C2_P5_10044
A2M	0.000	0.000	0.000	0.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.608	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.649	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.677	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.765	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.624	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.000	0.000	0.000	0.874	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.660	0.000	0.000	0.000	0.000	0.000	0.668	0.000	0.000	0.000	0.000	0.669	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.676	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.173	0.000	1.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.794	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.396	0.943	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCC9	0.000	0.000	0.000	0.000	0.000	0.529	0.000	0.000	0.000	0.000	0.000	0.568	0.000	0.000	0.000	0.000	0.585	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.816	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.849	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.106	0.000	0.000
ABCE1	0.948	0.488	1.713	0.874	1.886	1.129	1.340	0.880	0.889	1.522	1.376	1.401	0.571	0.573	1.756	2.196	1.219	0.583	0.588	0.961	1.433	1.454	1.793	1.277	0.984	1.255	1.255	0.983	0.990	0.615	1.477	0.623	0.992	2.065	0.616	0.996	1.293	1.006	1.679	1.497	1.490	1.014	1.016	1.281	1.013	1.534	1.042	1.701	0.649	0.638	1.304	1.537	1.320	0.000	2.115	0.651	1.053	1.546	1.051	0.668	1.746	1.548	1.055	1.918	1.350	1.351	0.666	1.079	0.660	1.350	1.345	2.163	1.360	1.357	1.932	1.075	1.584	1.779	1.771	1.779	1.386	1.384	1.094	1.380	0.698	1.804	1.404	1.395	1.402	1.625	1.402	1.126	1.127	1.131	1.648	1.414	0.726	1.438	1.145	1.451	1.438	1.659	1.483	1.685	0.731	0.739	0.744	1.685	0.000	1.871	0.742	1.699	0.000	0.000	1.479	1.485	1.722	1.723	1.489	1.197	0.772	2.126	1.733	2.082	1.919	0.773	1.212	0.774	0.000	0.783	1.227	1.224	1.771	0.794	1.540	0.794	1.230	0.000	1.240	0.808	1.239	1.962	1.250	1.543	1.782	0.810	1.259	1.265	1.800	0.822	0.836	1.280	1.998	1.821	1.575	0.841	0.817	0.833	0.840	2.011	0.844	1.302	0.844	1.613	0.846	0.858	1.323	1.622	0.858	1.851	1.629	1.638	0.858	0.000	1.329	0.870	2.087	1.663	0.880	1.643	0.000	0.887	1.901	0.000	1.385	2.147	1.937	1.957	1.740	0.000	1.428	1.450	1.804	0.980	1.485	1.494	2.103	1.023	0.000	0.000	1.557	1.075	1.894	0.000	0.000	1.637
ABHD2	0.423	0.488	0.000	1.333	0.000	1.129	0.000	0.534	0.540	0.889	1.169	0.000	0.571	0.573	0.000	0.587	0.585	0.000	0.588	0.000	0.587	0.000	0.607	0.622	0.608	0.000	0.000	0.000	0.990	0.615	0.613	0.623	0.000	0.621	0.616	0.617	0.632	0.000	0.000	1.006	0.000	0.000	1.293	0.000	0.000	0.000	0.000	1.027	0.000	0.638	0.639	0.000	0.649	0.000	0.000	0.000	0.659	0.654	0.000	1.065	0.000	0.000	0.000	0.677	0.000	0.000	0.666	0.000	0.660	0.000	0.000	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.384	0.000	0.000	0.000	0.700	0.000	0.000	1.113	1.112	0.000	0.000	0.000	0.000	0.717	0.000	0.000	0.000	0.728	0.000	0.000	0.725	0.000	0.741	0.000	0.000	0.000	0.741	0.000	0.000	0.742	0.750	1.178	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.772	1.204	0.000	0.000	0.000	0.000	1.227	0.000	0.797	0.000	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.000	1.250	0.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.280	0.000	0.831	0.000	0.000	0.000	0.000	0.840	0.830	0.000	0.849	0.000	0.000	0.000	0.000	0.000	0.000	0.858	0.000	0.000	0.868	0.000	0.000	0.871	0.870	0.000	0.000	0.000	0.000	0.896	0.000	0.885	0.903	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.774	0.000	0.980	0.000	0.000	0.000	0.000	1.050	0.000	0.000	0.000	1.058	0.000	0.000	0.000
ABI3BP	0.000	1.060	0.500	0.000	1.130	0.000	0.000	1.782	0.000	0.540	0.908	0.568	1.197	1.410	0.587	0.000	1.430	0.949	0.000	0.592	0.000	1.242	0.607	0.622	0.000	0.983	0.607	0.983	0.000	0.000	0.990	0.623	2.156	0.000	0.994	0.617	0.000	0.624	0.000	0.000	1.000	1.014	1.016	1.281	1.684	0.000	0.000	0.640	1.537	0.638	0.000	1.039	1.320	0.000	0.000	1.043	1.053	1.725	0.658	1.065	0.000	1.548	1.890	1.077	0.669	0.000	0.000	0.000	1.555	0.669	1.062	0.674	1.076	0.000	1.088	0.000	1.077	1.088	0.000	1.088	0.000	0.000	1.604	0.000	0.698	0.700	0.705	1.802	0.704	0.000	1.402	0.000	0.000	1.988	0.717	1.124	0.726	0.000	0.000	1.156	1.438	0.000	0.759	0.741	1.149	1.160	0.000	0.000	0.744	1.458	0.742	0.000	0.000	2.420	0.756	0.000	0.000	0.765	0.000	0.000	0.772	1.241	0.772	0.000	0.772	0.773	0.000	2.081	1.223	1.937	1.529	0.789	0.000	0.794	0.000	0.794	0.000	0.802	1.240	0.808	0.000	0.000	1.555	1.239	1.244	0.000	0.816	1.265	0.000	0.000	1.285	1.588	0.000	1.278	0.823	0.000	1.260	0.833	0.000	0.000	0.000	1.302	1.295	0.850	0.000	0.000	0.000	0.000	0.000	1.851	0.861	0.000	0.000	1.644	1.329	0.000	1.341	0.000	0.880	0.000	1.361	0.000	0.000	1.369	1.703	0.000	0.910	0.000	0.000	0.938	0.950	0.000	0.000	0.000	0.996	1.003	1.029	0.000	1.050	1.068	0.000	1.075	1.058	1.106	0.000	0.000
ABL2	0.719	0.815	0.832	0.000	0.875	0.529	0.000	0.000	0.540	0.540	0.000	0.000	0.571	0.000	0.000	1.223	0.000	0.583	0.588	0.000	0.000	0.000	0.000	0.000	0.984	0.000	0.000	0.000	0.613	1.266	0.000	0.623	0.000	0.000	0.000	0.996	0.632	0.000	0.000	0.625	0.000	0.000	0.000	0.624	0.000	0.000	0.000	0.000	1.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.659	0.000	0.658	0.668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.350	0.666	0.000	0.000	0.674	0.000	0.000	0.677	0.000	0.681	0.686	1.386	0.691	1.381	0.000	0.698	0.000	0.000	0.000	0.704	0.000	0.000	0.714	0.000	0.718	0.000	0.000	0.000	0.728	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.455	0.000	0.000	0.000	0.000	0.000	0.000	0.753	0.760	0.000	0.760	0.000	0.000	0.000	0.768	0.000	0.802	0.000	0.000	0.000	0.000	0.000	0.000	0.788	0.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.799	0.000	0.000	1.244	0.000	0.000	0.821	0.000	0.000	0.000	0.000	0.000	0.000	0.823	0.000	0.817	0.000	0.840	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.311	0.000	0.000	0.861	0.868	0.858	0.000	0.000	0.870	0.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.106	0.000	0.000
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
