GeneSymbol	A21_05_C3_P5_690140	A21_05_C3_P5_868918	A21_05_C3_P5_530187	A21_05_C3_P5_474185
A2M	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000
ABCA8	0.335	0.000	0.936	0.560
ABCC9	0.000	0.000	0.000	0.000
ABCE1	0.335	0.372	0.417	1.179
ABHD2	0.585	0.642	1.276	0.560
ABI3BP	0.785	0.372	0.000	0.560
ABL2	0.585	0.000	0.000	0.000
AC002451.1	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000
AC003681.1	0.000	0.000	0.000	0.000
AC004000.1	0.000	0.000	0.000	0.560
AC004386.1	0.000	0.000	0.000	0.000
AC005291.1	0.000	0.000	0.000	0.000
AC005962.2	0.000	0.000	0.000	0.000
AC006141.1	0.000	0.000	0.000	0.000
AC006329.1	0.000	0.000	0.000	0.000
AC007066.2	0.000	0.000	0.000	0.000
AC008074.2	0.000	0.000	0.000	0.000
AC008105.1	0.000	0.000	0.000	0.000
AC008875.1	0.000	0.000	0.000	0.000
AC009318.1	0.000	0.000	0.000	0.000
AC009404.1	0.000	0.000	0.000	0.000
AC009549.1	0.000	0.000	0.000	0.000
AC010198.2	0.335	0.000	0.000	0.000
AC010624.1	0.000	0.000	0.000	0.000
AC010624.5	0.000	0.372	0.000	0.000
AC010980.1	0.000	0.000	0.000	0.000
AC013565.1	0.000	0.000	0.000	0.000
AC022382.1	0.000	0.000	0.000	0.000
AC023908.3	0.000	0.000	0.000	0.000
AC025031.4	0.000	0.000	0.000	0.000
AC025171.3	0.000	0.000	0.000	0.000
AC025442.2	0.000	0.000	0.000	0.000
AC027288.3	0.000	0.000	0.000	0.000
AC061958.1	0.000	0.000	0.000	0.000
AC068860.1	0.000	0.000	0.000	0.000
AC073114.1	0.000	0.000	0.000	0.000
AC073130.1	0.000	0.000	0.000	0.000
AC073316.1	0.000	0.000	0.000	0.000
AC073575.2	0.000	0.000	0.000	0.000
AC078881.1	0.000	0.000	0.000	0.000
AC087645.2	0.000	0.000	0.000	0.000
AC091563.1	0.000	0.000	0.000	0.000
AC092437.1	0.000	0.000	0.000	0.000
AC092490.1	0.000	0.000	0.417	0.000
AC092718.4	0.000	0.000	0.000	0.000
AC092802.1	0.000	0.000	0.000	0.000
AC093433.2	0.000	0.000	0.000	0.000
AC097709.1	0.000	0.000	0.000	0.000
AC100858.3	0.000	0.000	0.000	0.000
AC103740.1	0.000	0.000	0.000	0.000
AC104083.1	0.000	0.000	0.000	0.000
AC104695.2	0.000	0.000	0.000	0.000
AC105339.6	0.000	0.000	0.000	0.000
AC107294.3	0.000	0.000	0.000	0.000
AC112253.1	0.000	0.000	0.000	0.000
AC114811.2	0.000	0.000	0.000	0.000
AC124016.1	0.000	0.000	0.000	0.000
AC134407.2	0.000	0.000	0.000	0.000
AC139100.2	0.000	0.000	0.000	0.000
AC239799.2	0.000	0.000	0.000	0.000
AC241584.1	0.000	0.000	0.000	0.000
