GeneSymbol	A21_05_C3_P5_249126	A21_05_C3_P5_533481	A21_05_C3_P5_577716	A21_05_C3_P5_86722	A21_05_C3_P5_251707	A21_05_C3_P5_755486	A21_05_C3_P5_637637	A21_05_C3_P5_572742
A2M	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
ABCC9	0.377	1.337	1.090	0.000	1.275	0.000	0.000	0.000
ABCE1	0.000	0.000	0.401	0.821	0.498	0.000	0.000	0.000
ABHD2	0.650	0.660	0.401	1.068	0.498	0.000	0.568	1.260
ABI3BP	0.000	1.054	0.687	0.000	0.000	0.000	0.000	0.000
ABL2	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.611
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003681.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC004000.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC004386.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC005291.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC005962.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006141.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006329.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC007066.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008074.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008105.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008875.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009318.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009404.1	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
AC009549.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010198.2	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
AC010624.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010624.5	0.000	0.660	0.687	0.000	0.000	0.000	0.000	0.000
AC010980.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC013565.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC022382.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC023908.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC025031.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC025171.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC025442.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC027288.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC061958.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC068860.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC073114.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC073130.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC073316.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC073575.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC078881.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC087645.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC091563.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC092437.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC092490.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC092718.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC092802.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC093433.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC097709.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC100858.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC103740.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC104083.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC104695.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC105339.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC107294.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC112253.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC114811.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC124016.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC134407.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC139100.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC239799.2	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
AC241584.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC253572.2	0.000	0.384	0.000	0.000	0.000	0.000	0.928	0.000
ACAT2	0.000	0.384	0.000	0.000	0.498	0.000	0.000	0.000
ACBD7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACKR3	0.000	0.000	0.687	0.492	0.000	0.000	0.000	0.000
ACKR4	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.611
ACLY	0.650	0.660	0.401	1.431	0.000	0.524	0.000	1.260
ACP5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACSL4	0.377	0.000	0.000	0.492	0.498	0.000	0.000	0.611
ACTA2	0.377	0.660	1.781	0.000	1.441	0.524	1.401	0.611
ACTB	3.456	3.624	2.760	3.961	3.789	4.088	4.092	3.856
ACTBL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACTN1	0.650	1.337	1.243	0.492	1.077	0.524	0.568	0.611
ACVR1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ACVR2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADA	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAM12	1.540	2.192	1.243	1.431	0.829	1.636	2.157	1.650
ADAM19	0.864	0.384	0.401	0.000	0.000	0.524	0.568	0.611
ADAMTS1	0.000	0.000	0.000	0.000	1.275	0.524	2.065	0.987
ADAMTS2	0.864	1.337	0.000	0.821	0.498	0.524	1.963	0.000
ADAMTS5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAMTS8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAMTS9-AS2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADAMTSL4	0.000	0.384	0.000	0.821	0.000	0.524	0.928	1.800
ADAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCY1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCY2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCYAP1R1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADGRG6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADH1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADH1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADIRF	0.864	1.054	1.376	0.000	0.000	0.000	0.000	0.000
ADM	1.191	0.000	0.908	2.227	0.000	0.000	1.849	0.000
ADM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADRA2A	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AHR	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.987
AIM2	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
AK4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AK5	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
AKAP12	1.321	0.384	1.243	1.068	1.077	1.492	2.320	2.045
AKAP6	0.000	0.000	0.687	0.000	0.000	0.000	0.000	0.000
AKR1B10	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
AKR1C2	0.377	0.660	0.000	0.000	0.000	0.000	0.928	0.611
AL031777.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL109918.1	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.000
AL136131.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL139393.3	0.000	0.000	0.000	0.000	0.000	1.121	0.000	0.000
AL158063.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL353726.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL353898.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL356056.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL391056.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL662907.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL672207.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALCAM	0.000	0.384	0.687	0.000	0.000	0.000	0.928	0.611
ALDH1A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALDH1A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALDH1A3	0.650	0.000	0.401	0.000	0.000	0.000	0.568	0.000
ALPL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALYREF	0.650	0.384	0.687	0.000	0.498	1.121	0.000	0.000
AMD1	0.000	0.000	0.401	0.492	0.000	0.524	0.000	0.000
AMOTL2	0.377	0.384	0.000	0.821	0.000	0.000	0.000	0.611
ANGPT1	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.000
ANGPT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANGPTL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANGPTL2	0.650	0.000	1.243	0.492	1.583	1.492	0.000	0.000
ANGPTL4	0.377	0.384	0.000	0.821	0.000	0.524	0.568	0.000
ANK3	0.000	0.000	0.000	0.492	0.498	0.000	0.000	0.611
ANKH	1.041	1.205	0.687	0.492	0.000	1.324	0.568	0.987
ANKRD33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD36C	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
ANKRD37	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD50	0.000	0.000	0.000	0.821	0.498	0.000	0.000	0.000
ANLN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANO4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANOS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANP32B	1.798	0.660	1.694	1.265	1.918	1.636	1.721	0.000
ANP32E	0.000	0.384	0.000	0.492	0.498	0.524	0.000	0.000
ANTXR1	0.650	0.000	0.000	0.492	0.000	0.867	0.000	1.474
ANXA1	2.119	2.337	2.004	1.265	1.583	1.874	1.963	1.260
ANXA10	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AP001033.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AP001148.1	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
AP001528.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
APBB1IP	0.650	0.000	0.687	0.000	0.000	0.000	0.000	0.611
APCDD1	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
APCDD1L	1.041	0.877	0.687	0.492	0.000	0.524	0.000	0.611
APOBEC3A	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
APOD	0.377	0.000	0.401	0.000	0.000	0.867	0.568	0.611
APOE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
APOL1	1.191	0.877	0.401	0.000	0.000	0.867	0.568	0.000
APOL4	0.377	0.000	0.000	0.000	0.000	0.524	0.928	0.000
AQP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AR	0.377	0.000	0.000	0.000	0.829	0.000	0.568	0.000
AREG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARHGAP11A	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
ARHGAP18	0.864	0.000	0.687	0.492	0.000	0.000	0.000	0.000
ARHGAP20	0.377	0.000	0.000	0.000	0.498	0.000	0.928	0.000
ARHGAP28	0.000	0.384	0.401	0.000	0.829	0.867	0.000	0.987
ARHGAP29	0.377	0.000	0.000	0.821	0.498	1.121	0.928	1.260
ARHGDIB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARHGEF39	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARID4A	0.650	0.000	0.000	0.000	0.498	0.524	0.568	0.000
ARID5B	0.864	0.000	0.000	1.068	0.000	0.524	0.000	0.000
ARL4C	2.318	1.650	1.599	0.000	1.818	1.324	2.392	1.474
ARL6IP1	0.377	1.337	0.000	0.492	0.498	0.000	0.568	1.474
ASF1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ASPM	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
ASPN	0.377	0.660	0.000	0.000	0.498	0.524	0.568	2.045
ASXL3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATAD2	0.000	0.000	0.000	0.492	0.498	0.000	0.000	0.000
ATAD3C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATAD5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATF5	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.611
ATP1B1	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
ATP5MC1	0.377	1.054	1.243	0.492	1.441	0.867	1.401	0.000
ATP8A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AURKA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AURKB	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
B3GALT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
B4GALT1	1.540	1.452	1.243	1.807	1.918	1.874	2.157	1.800
BAALC	0.377	0.877	0.000	0.492	0.498	0.000	0.000	0.611
BACH2	0.000	0.000	0.000	0.000	0.498	0.524	0.000	0.000
BAG2	0.377	0.384	0.000	0.000	0.000	0.000	0.568	0.611
BARD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BASP1	2.404	1.815	2.514	1.807	1.918	1.121	1.573	1.474
BBC3	0.377	0.000	0.000	0.492	0.498	0.524	0.928	0.611
BCAT1	1.041	1.054	1.243	0.821	0.498	0.867	0.928	0.987
BCHE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL11B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL2A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL2L11	0.000	0.000	0.000	0.000	0.498	0.524	0.000	0.000
BCL2L12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL2L15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL6B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCYRN1	1.939	2.577	1.861	1.572	2.632	1.492	2.523	1.474
BDKRB1	0.000	0.000	0.000	0.000	0.000	0.867	0.000	0.000
BDKRB2	0.000	0.000	0.401	0.492	0.000	0.000	0.000	0.000
BDNF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BDP1	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.611
BEND7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BEX1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGN	1.719	1.452	0.401	1.068	1.818	1.324	1.849	0.611
BHLHE40	0.000	0.000	0.000	0.492	0.498	0.524	0.000	0.000
BHLHE41	0.000	0.384	0.000	0.492	0.000	0.000	0.000	0.000
BIRC5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
BLM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BMP2	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.987
BMP4	0.000	0.000	0.000	0.492	0.498	0.000	0.000	0.000
BORA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRCA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRD8	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.000
BRI3BP	0.377	0.384	0.000	0.000	0.000	0.000	0.000	0.000
BRINP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRIP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRIX1	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
BST2	0.000	0.000	0.687	0.000	0.829	0.000	0.000	0.611
BTG1	0.650	0.000	0.687	0.000	0.000	1.121	0.000	0.000
BTG2	0.000	0.660	0.000	0.000	0.498	0.000	0.000	0.611
BUB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BUB1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BUB3	1.321	1.337	0.687	0.000	0.829	0.524	0.000	0.000
BX323043.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BX323046.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C11orf96	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C12orf75	0.864	0.384	0.401	0.492	0.000	0.524	0.000	0.000
C1GALT1	0.000	0.000	0.000	1.431	0.498	0.000	0.000	0.000
C1QTNF1	0.864	0.660	0.000	0.492	0.000	0.000	0.568	0.000
C1QTNF3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C1QTNF7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C1S	1.939	1.650	1.861	1.996	0.829	1.636	2.065	1.800
C1orf115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C1orf21	0.377	0.000	0.401	0.000	1.077	0.867	0.928	0.000
C1orf226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C21orf58	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
C2orf88	0.000	0.384	0.000	0.492	0.000	0.000	0.568	0.000
C7	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
C8orf89	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CA12	0.650	0.384	0.687	0.492	0.000	0.524	0.568	0.611
CABLES1	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
CACNG8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CACYBP	0.650	0.384	0.000	0.000	0.829	1.121	0.000	0.987
CADPS	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CALD1	2.835	2.291	1.935	2.664	2.368	2.066	2.157	1.930
CALM2	1.191	1.337	0.687	1.906	1.077	1.492	1.401	1.260
CALN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CALR	2.404	3.461	3.388	2.900	3.044	3.224	2.837	2.881
CAMK2N1	0.000	0.000	1.494	0.000	0.000	0.524	0.000	0.000
CAPN6	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.000
CASS4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CAV1	2.521	1.957	1.935	2.414	1.275	1.975	2.320	1.260
CAV2	0.864	0.877	0.000	0.000	0.000	0.000	0.568	0.000
CAVIN2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CBX5	0.377	0.384	0.401	0.000	0.829	0.867	0.568	0.611
CCBE1	0.000	0.000	0.000	0.000	0.000	0.867	0.000	0.000
CCDC110	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
CCDC144B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC152	0.650	0.000	0.687	0.000	0.000	0.000	0.000	0.000
CCDC170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC34	0.377	0.000	0.000	0.821	0.000	1.121	0.000	0.000
CCDC80	3.498	3.369	3.688	3.000	3.239	3.696	3.176	3.820
CCDC86	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
CCL11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCL2	0.650	0.384	0.000	1.265	0.000	0.867	0.000	0.000
CCL20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCL7	0.000	0.000	0.000	0.492	0.000	0.524	0.000	0.000
CCL8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCN1	1.041	0.000	0.687	1.431	1.708	1.121	1.721	0.987
CCN2	0.650	0.000	0.401	0.492	0.829	0.000	2.460	1.474
CCN3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCN4	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.000
CCN5	0.650	0.000	1.781	0.000	0.000	0.000	0.000	0.000
CCNA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCND1	1.191	0.660	0.401	0.492	0.498	0.000	0.000	1.474
CCND2	0.377	0.000	0.000	0.000	1.708	0.000	0.000	0.611
