GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
A2M	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.377	0.447	0.000	0.000	0.000	0.553	0.000	0.000	0.596	0.357	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.444	0.436	0.000	0.000	0.450	0.000	0.000	0.832
ABCC9	0.377	0.000	0.265	0.283	0.000	0.553	0.000	0.000	0.000	0.357	0.000	0.637	0.379	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCE1	0.377	0.000	0.648	0.000	0.902	0.314	0.000	1.119	0.967	0.828	0.000	0.637	0.653	0.879	0.390	0.406	0.754	0.420	0.954	0.974	0.444	1.159	0.455	1.008	0.450	0.461	0.470	0.000
ABHD2	0.377	0.447	0.265	0.504	0.312	0.907	0.775	0.345	0.342	0.000	0.356	0.637	0.000	0.662	0.000	0.694	0.000	0.000	1.298	1.162	0.000	0.000	0.455	0.457	0.450	0.000	0.000	0.500
ABI3BP	0.000	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.868	0.662	0.000	0.000	0.000	0.000	0.725	0.000	0.000	0.436	0.766	0.457	0.000	0.000	0.000	0.000
ABL2	0.000	0.000	0.265	0.000	0.549	0.314	0.000	0.345	0.000	0.000	0.825	0.000	0.000	0.385	0.000	0.406	1.597	1.127	0.000	0.000	0.000	0.436	0.455	0.000	0.000	1.207	0.470	0.832
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003681.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC004000.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC004386.1	0.000	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC005291.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC005962.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006141.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC006329.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC007066.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008074.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008105.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC008875.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009318.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009404.1	0.000	0.000	0.265	0.283	0.000	0.000	0.329	0.000	0.342	0.000	0.356	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC009549.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010198.2	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010624.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010624.5	0.000	0.000	0.000	0.504	0.000	0.553	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC010980.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC013565.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC022382.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC023908.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC025031.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC025171.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC025442.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC027288.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
