GeneSymbol	A21_05_C3_P5_273432	A21_05_C3_P5_89516	A21_05_C3_P5_817199	A21_05_C3_P5_38737	A21_05_C3_P5_78279	A21_05_C3_P5_26040	A21_05_C3_P5_405547	A21_05_C3_P5_471791	A21_05_C3_P5_386570	A21_05_C3_P5_282657	A21_05_C3_P5_731124	A21_05_C3_P5_117143	A21_05_C3_P5_93200	A21_05_C3_P5_167885	A21_05_C3_P5_424778	A21_05_C3_P5_567204	A21_05_C3_P5_133153	A21_05_C3_P5_251626	A21_05_C3_P5_658498	A21_05_C3_P5_355374	A21_05_C3_P5_414386	A21_05_C3_P5_187368	A21_05_C3_P5_278261	A21_05_C3_P5_410029	A21_05_C3_P5_289272	A21_05_C3_P5_867878	A21_05_C3_P5_681612	A21_05_C3_P5_479453	A21_05_C3_P5_831435	A21_05_C3_P5_619719	A21_05_C3_P5_250609	A21_05_C3_P5_130967	A21_05_C3_P5_336781	A21_05_C3_P5_359899	A21_05_C3_P5_17935	A21_05_C3_P5_435679	A21_05_C3_P5_316908	A21_05_C3_P5_521479	A21_05_C3_P5_424097	A21_05_C3_P5_110130	A21_05_C3_P5_838808	A21_05_C3_P5_231769	A21_05_C3_P5_564098	A21_05_C3_P5_830982	A21_05_C3_P5_659204	A21_05_C3_P5_318674	A21_05_C3_P5_626723	A21_05_C3_P5_267038	A21_05_C3_P5_422634	A21_05_C3_P5_80494	A21_05_C3_P5_170842	A21_05_C3_P5_332089	A21_05_C3_P5_10783	A21_05_C3_P5_15076	A21_05_C3_P5_534473
A2M	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.000	0.000	0.000	0.000	0.000	0.309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.000	0.000	0.359	0.000	0.000	0.000	0.000	0.372	0.000	0.372	0.000	0.000	0.380	0.000	0.387	0.389	0.391	0.000	0.000	0.000	0.000	0.412	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.000	0.734	0.440	0.000	0.000	0.000	0.000	0.000	0.000
ABCC9	0.000	0.282	0.000	0.000	0.543	0.000	0.000	0.324	0.000	0.778	0.333	0.771	0.000	0.000	0.000	0.000	0.359	0.843	0.365	0.000	0.000	0.000	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.707	0.000	0.000	0.419	0.429	0.000	0.429	0.734	0.440	0.000	0.000	0.485	0.000	0.000	0.680
ABCE1	0.959	0.834	1.278	1.287	1.446	1.607	0.898	1.070	1.728	1.210	1.326	1.798	1.233	0.341	1.114	1.554	0.832	1.017	1.016	1.834	1.612	1.031	1.985	0.372	1.319	1.041	0.869	1.645	1.345	0.668	1.574	1.070	1.470	1.859	1.263	0.412	1.697	0.917	0.410	0.923	0.415	1.281	1.129	1.125	1.558	0.424	1.146	0.734	0.977	1.250	1.049	0.811	0.807	0.498	0.680
ABHD2	1.076	0.282	0.831	0.504	0.733	0.736	0.546	0.765	0.326	0.331	0.582	0.771	1.107	0.000	0.343	0.977	0.623	1.017	1.016	0.629	0.000	0.643	0.000	0.642	0.649	1.322	1.046	1.050	1.461	0.389	0.889	0.671	0.391	0.000	0.700	0.703	0.688	0.694	0.000	0.409	0.000	0.940	0.421	0.713	0.429	0.424	0.959	0.734	0.440	0.000	0.482	1.056	0.807	0.498	0.680
ABI3BP	0.000	0.000	0.280	0.000	0.308	0.309	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.341	0.000	0.347	0.000	0.000	1.292	0.000	0.000	0.000	0.371	0.642	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.433	0.440	0.000	0.000	0.000	0.000	0.000	0.680
ABL2	0.000	0.282	0.000	0.283	0.308	0.000	0.000	0.324	0.000	0.778	0.333	0.574	0.594	0.341	0.000	0.000	0.359	0.000	0.000	0.363	0.369	0.372	0.640	0.372	0.649	0.000	0.654	0.000	0.000	0.389	0.391	0.391	0.000	0.000	0.000	0.412	0.000	0.000	0.000	0.000	0.000	0.419	0.421	0.419	0.728	0.720	0.000	0.000	0.000	0.484	0.482	0.000	1.051	0.498	0.000
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
