GeneSymbol	A21_05_C3_P5_598953	A21_05_C3_P5_41563	A21_05_C3_P5_309318	A21_05_C3_P5_447890	A21_05_C3_P5_596363	A21_05_C3_P5_857243	A21_05_C3_P5_645910	A21_05_C3_P5_847557	A21_05_C3_P5_182432	A21_05_C3_P5_506575	A21_05_C3_P5_449695	A21_05_C3_P5_191936	A21_05_C3_P5_533963	A21_05_C3_P5_60010	A21_05_C3_P5_310363	A21_05_C3_P5_620145	A21_05_C3_P5_201677	A21_05_C3_P5_260668	A21_05_C3_P5_216507	A21_05_C3_P5_643212	A21_05_C3_P5_149614	A21_05_C3_P5_340258	A21_05_C3_P5_550710	A21_05_C3_P5_24865	A21_05_C3_P5_25860	A21_05_C3_P5_8287	A21_05_C3_P5_673707	A21_05_C3_P5_261433	A21_05_C3_P5_352571	A21_05_C3_P5_33364	A21_05_C3_P5_605519	A21_05_C3_P5_590488	A21_05_C3_P5_17324	A21_05_C3_P5_805559	A21_05_C3_P5_851953	A21_05_C3_P5_452598	A21_05_C3_P5_696775	A21_05_C3_P5_347100	A21_05_C3_P5_331090	A21_05_C3_P5_499949	A21_05_C3_P5_647250	A21_05_C3_P5_87044	A21_05_C3_P5_761459	A21_05_C3_P5_868124	A21_05_C3_P5_225022	A21_05_C3_P5_766989	A21_05_C3_P5_564735	A21_05_C3_P5_360704	A21_05_C3_P5_533518	A21_05_C3_P5_761461	A21_05_C3_P5_787878	A21_05_C3_P5_529129	A21_05_C3_P5_590395	A21_05_C3_P5_658047	A21_05_C3_P5_476702	A21_05_C3_P5_157522	A21_05_C3_P5_398035	A21_05_C3_P5_405616	A21_05_C3_P5_548726	A21_05_C3_P5_489871	A21_05_C3_P5_297561	A21_05_C3_P5_709099	A21_05_C3_P5_229845	A21_05_C3_P5_476157	A21_05_C3_P5_303864	A21_05_C3_P5_233651	A21_05_C3_P5_845692	A21_05_C3_P5_564673	A21_05_C3_P5_869920	A21_05_C3_P5_557457	A21_05_C3_P5_399610	A21_05_C3_P5_37071	A21_05_C3_P5_333845	A21_05_C3_P5_431695	A21_05_C3_P5_851091	A21_05_C3_P5_866974	A21_05_C3_P5_89855	A21_05_C3_P5_93757	A21_05_C3_P5_793585	A21_05_C3_P5_183931	A21_05_C3_P5_768566	A21_05_C3_P5_138318	A21_05_C3_P5_257560	A21_05_C3_P5_172178	A21_05_C3_P5_273241	A21_05_C3_P5_865597	A21_05_C3_P5_637999	A21_05_C3_P5_484617	A21_05_C3_P5_236355	A21_05_C3_P5_745822	A21_05_C3_P5_540505	A21_05_C3_P5_86236	A21_05_C3_P5_85521	A21_05_C3_P5_101803	A21_05_C3_P5_606635	A21_05_C3_P5_27410	A21_05_C3_P5_482767	A21_05_C3_P5_7911	A21_05_C3_P5_435920	A21_05_C3_P5_631161	A21_05_C3_P5_819174	A21_05_C3_P5_880348	A21_05_C3_P5_681458	A21_05_C3_P5_853632	A21_05_C3_P5_399322	A21_05_C3_P5_565776	A21_05_C3_P5_305976	A21_05_C3_P5_515393	A21_05_C3_P5_138386	A21_05_C3_P5_844734	A21_05_C3_P5_183177	A21_05_C3_P5_124973	A21_05_C3_P5_75711	A21_05_C3_P5_754393	A21_05_C3_P5_293783	A21_05_C3_P5_484989	A21_05_C3_P5_568224	A21_05_C3_P5_668589	A21_05_C3_P5_691942	A21_05_C3_P5_879148	A21_05_C3_P5_381568	A21_05_C3_P5_306566	A21_05_C3_P5_490250	A21_05_C3_P5_614389	A21_05_C3_P5_634198	A21_05_C3_P5_870535	A21_05_C3_P5_367555	A21_05_C3_P5_800996
A2M	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AARD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCA8	0.000	0.000	0.000	0.000	0.000	0.322	0.314	0.000	0.000	0.000	0.337	0.000	0.000	0.000	0.338	0.000	0.338	0.000	0.347	0.000	0.622	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.662	0.380	0.000	0.000	0.000	0.000	0.000	0.389	0.669	0.000	0.000	0.000	0.000	0.686	0.000	0.000	0.000	0.000	0.396	0.408	0.000	0.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.416	0.000	0.000	0.000	0.000	0.000	0.423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.438	0.000	0.000	0.000	0.000	0.450	0.000	0.000	0.000	0.000	0.000	0.465	0.000	0.000	0.000	0.471	0.000	0.000	0.471	0.000	0.483	0.000	0.803	0.000	0.000	0.000	0.488	0.000	0.000	0.000	0.842	0.498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ABCC9	0.000	0.000	0.000	0.311	0.000	0.000	0.000	0.000	0.000	0.335	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.349	0.347	0.342	0.358	0.000	0.364	1.008	0.364	0.000	0.000	0.371	0.361	0.000	0.372	0.000	0.000	0.000	0.000	0.000	0.380	0.000	0.000	0.387	0.000	0.000	0.000	0.000	0.000	0.673	0.677	0.000	0.000	0.398	0.000	0.000	0.000	0.396	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.412	0.414	0.707	0.000	0.000	0.000	0.418	0.000	0.000	0.000	0.421	0.000	0.000	0.425	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.457	0.474	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.491	0.493	0.000	0.000	0.494	0.000	0.000	0.507	0.000	0.512	0.000	0.515	0.000	0.540	0.576	0.000	0.000
ABCE1	0.694	1.472	1.020	0.548	1.630	0.760	1.375	1.069	0.315	1.682	1.610	1.495	1.514	1.433	1.339	1.535	1.102	0.983	1.122	1.625	1.002	1.701	1.404	1.008	1.506	1.909	0.835	0.641	1.500	0.643	1.528	1.512	1.697	1.520	0.866	1.057	1.444	1.539	1.200	0.883	1.115	1.065	1.217	1.570	1.357	1.355	2.051	2.125	1.089	0.903	1.336	1.230	0.684	1.080	1.510	1.597	0.906	1.241	1.098	1.379	1.261	1.510	1.107	0.697	1.397	0.703	0.703	1.116	1.272	0.717	0.710	1.410	1.279	1.121	0.718	0.713	1.286	1.134	0.729	0.952	1.666	1.313	1.455	1.310	1.144	1.166	1.438	0.974	1.871	1.968	0.981	1.688	1.794	0.759	1.617	1.349	1.006	1.364	1.008	1.933	0.000	1.498	1.533	0.000	0.000	1.221	0.790	0.802	0.807	0.000	1.407	1.065	1.068	0.504	1.060	0.000	1.277	0.000	0.507	0.498	0.512	0.861	1.308	2.141	1.907	0.000	0.000	1.788
ABHD2	0.982	0.290	0.000	0.000	0.000	0.322	0.314	0.764	0.315	0.786	1.099	0.570	0.332	0.336	0.000	0.593	0.338	0.608	1.122	0.596	0.000	0.640	0.630	0.000	0.840	0.000	0.626	1.177	0.835	0.856	1.031	0.366	0.849	0.000	0.000	1.339	0.870	1.040	0.872	0.387	0.931	1.216	0.668	0.000	1.073	0.673	0.395	0.685	1.089	0.398	0.000	0.677	0.400	0.679	0.408	0.000	0.400	0.685	0.000	0.910	0.699	0.921	0.410	0.697	1.108	0.412	0.000	0.706	1.406	0.945	0.417	0.000	1.639	0.000	0.718	0.713	0.000	0.720	0.000	0.000	0.429	0.434	0.000	0.964	1.302	0.000	0.000	0.438	0.974	0.000	0.442	0.976	0.000	0.000	0.767	0.452	1.006	0.772	0.458	1.020	0.780	0.769	0.794	1.031	1.233	0.468	0.471	0.802	0.483	0.817	0.480	0.491	1.068	1.087	0.488	0.494	0.499	0.839	0.000	0.829	0.000	0.861	0.000	0.520	0.000	1.414	0.000	1.250
ABI3BP	0.000	0.000	0.000	0.311	0.000	0.000	0.000	0.000	0.315	0.000	0.337	0.000	0.780	0.586	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.835	0.000	0.366	0.361	0.000	0.000	0.373	0.000	0.000	0.000	0.369	0.000	0.000	0.380	0.000	0.381	0.000	0.414	0.000	0.000	0.000	0.000	0.392	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000	0.000	0.400	0.000	0.000	0.000	0.402	0.409	0.000	0.000	0.000	0.000	0.000	0.412	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.421	0.423	0.000	0.000	0.429	0.434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.749	0.450	0.000	0.000	0.000	0.000	0.000	0.465	0.000	0.769	0.000	0.471	0.000	0.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.849	0.000	0.000	0.000	0.000	0.000	0.733	0.000
ABL2	0.288	0.290	0.000	0.000	0.000	0.000	0.553	0.324	0.000	0.952	0.000	0.767	0.581	0.336	0.000	0.340	1.227	0.349	0.347	0.000	0.000	0.000	0.000	0.835	0.000	0.366	0.000	0.641	0.000	0.000	0.372	0.633	0.638	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.674	0.392	0.677	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.697	0.000	0.906	0.400	0.405	0.402	0.409	0.000	0.000	0.408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.709	0.418	0.710	0.422	0.000	0.000	0.000	0.000	0.000	0.429	0.735	0.436	0.432	0.429	0.000	0.429	0.000	0.000	0.000	0.000	0.439	0.000	0.759	0.767	0.762	0.000	0.000	0.000	0.000	0.780	0.457	0.000	0.000	0.475	0.468	0.000	0.000	1.051	0.000	0.480	0.491	0.000	0.000	0.000	1.070	0.000	0.000	0.000	0.000	0.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC002451.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AC003101.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
